ms,Temp
2021,34.20
4043,34.20
6067,34.20
8091,34.20
10115,34.20
12138,34.20
14160,34.20
16183,34.20
18205,34.30
20228,34.30
22252,34.30
24274,34.30
26297,34.30
28319,34.40
30343,34.40
32367,34.40
34390,34.40
36412,34.40
38434,34.40
40457,34.40
42480,34.40
44505,34.40
46527,34.40
48549,34.40
50572,34.50
52596,34.50
54619,34.50
56641,34.50
58663,34.50
60688,34.50
62710,34.50
64733,34.60
66757,34.60
68780,34.60
70802,34.60
72825,34.60
74848,34.60
76870,34.60
78893,34.60
80917,34.60
82939,34.60
84962,34.60
86986,34.60
89009,34.60
91031,34.60
93056,34.70
95078,34.60
97100,34.70
99125,34.70
101147,34.70
103171,34.70
105193,34.70
107215,34.70
109239,34.70
111261,34.70
113286,34.70
115308,34.70
117330,34.80
119355,34.80
121378,34.80
123401,34.80
125423,34.80
127446,34.80
129469,34.80
131493,34.80
133517,34.80
135539,34.80
137562,34.80
139584,34.80
141607,34.80
143632,34.80
145655,34.80
147678,34.80
149700,34.80
151725,34.80
153747,34.80
155769,34.80
157792,34.80
159816,34.90
161839,34.90
163861,34.90
165885,34.90
167908,34.90
169930,34.90
171955,34.90
173977,34.90
176000,34.90
178022,34.90
180046,35.00
182069,35.00
184091,35.00
186116,35.00
188138,35.00
190160,35.00
192183,35.00
194207,35.00
196230,35.00
198252,35.00
200276,35.00
202300,35.00
204322,35.00
206345,35.00
208368,35.00
210393,35.00
212415,35.00
214437,35.00
216461,35.00
218485,35.00
220508,35.00
222530,35.00
224552,35.00
226577,35.00
228599,35.00
230622,35.10
232644,35.10
234669,35.10
236691,35.10
238713,35.10
240737,35.10
242761,35.10
244784,35.10
246806,35.10
248830,35.10
250853,35.10
252875,35.10
254899,35.10
256922,35.10
258945,35.10
260969,35.10
262991,35.20
265014,35.20
267038,35.20
269061,35.20
271083,35.20
273107,35.20
275130,35.20
277152,35.20
279177,35.20
281199,35.20
283222,35.20
285245,35.20
287267,35.20
289291,35.20
291313,35.30
293336,35.30
295359,35.30
297381,35.30
299406,35.30
301428,35.30
303453,35.30
305475,35.30
307499,35.30
309521,35.30
311543,35.30
313567,35.30
315589,35.30
317614,35.30
319636,35.30
321659,35.40
323684,35.40
325706,35.40
327729,35.40
329751,35.40
331776,35.40
333798,35.40
335820,35.40
337843,35.40
339867,35.40
341890,35.40
343912,35.40
345934,35.40
347959,35.40
349981,35.40
352004,35.40
354027,35.40
356051,35.40
358074,35.40
360096,35.40
362121,35.40
364144,35.40
366167,35.40
368189,35.40
370213,35.50
372236,35.50
374258,35.50
376282,35.50
378304,35.50
380328,35.50
382351,35.50
384373,35.50
386397,35.50
388419,35.50
390444,35.50
392466,35.50
394488,35.50
396512,35.50
398534,35.50
400559,35.50
402581,35.50
404603,35.50
406628,35.60
408650,35.50
410673,35.60
412696,35.60
414718,35.60
416743,35.60
418765,35.60
420788,35.60
422812,35.60
424835,35.60
426857,35.60
428881,35.60
430904,35.60
432926,35.60
434951,35.60
436973,35.60
438995,35.60
441020,35.60
443042,35.60
445065,35.60
447088,35.60
449111,35.60
451134,35.60
453156,35.60
455179,35.60
457203,35.60
459226,35.60
461248,35.60
463272,35.70
465295,35.70
467318,35.70
469341,35.70
471363,35.70
473388,35.70
475410,35.70
477432,35.70
479456,35.70
481478,35.70
483503,35.70
485525,35.70
487547,35.70
489571,35.70
491593,35.70
493618,35.70
495640,35.70
497662,35.70
499686,35.70
501708,35.70
503733,35.70
505755,35.70
507778,35.70
509801,35.70
511823,35.70
513848,35.70
515870,35.70
517893,35.70
519916,35.70
521938,35.80
523962,35.70
525984,35.70
528007,35.80
530031,35.80
532054,35.80
534076,35.80
536100,35.80
538123,35.80
540145,35.80
542168,35.80
544192,35.80
546214,35.80
548237,35.80
550261,35.80
552284,35.80
554306,35.80
556331,35.80
558353,35.80
560375,35.80
562400,35.80
564422,35.80
566445,35.80
568467,35.80
570491,35.80
572514,35.80
574536,35.80
576561,35.80
578583,35.80
580605,35.80
582630,35.80
584652,35.80
586675,35.80
588699,35.80
590722,35.80
592744,35.80
594767,35.90
596790,35.80
598812,35.90
600837,35.90
602859,35.90
604881,35.80
606906,35.90
608928,35.90
610952,35.90
612974,35.90
614996,35.90
617021,35.90
619043,35.90
621067,35.90
623089,35.90
625112,35.90
627136,35.90
629158,35.90
631181,35.90
633204,35.90
635227,35.90
637251,35.90
639273,35.90
641296,35.90
643319,35.90
645342,35.90
647366,35.90
649389,35.90
651411,35.90
653434,35.90
655457,35.90
657481,35.90
659504,35.90
661526,35.90
663549,35.90
665572,35.90
667596,35.90
669619,35.90
671641,35.90
673666,36.00
675688,35.90
677711,35.90
679734,36.00
681756,35.90
683781,36.00
685803,36.00
687825,36.00
689848,35.90
691872,36.00
693895,36.00
695917,36.00
697942,36.00
699964,36.00
701986,36.00
704009,36.00
706033,36.00
708057,36.00
710080,36.00
712102,36.00
714125,36.00
716147,36.00
718170,36.00
720192,36.00
722214,36.00
724237,36.00
726259,36.00
728282,36.00
730304,36.00
732326,36.00
734349,36.00
736371,36.00
738395,36.00
740418,36.00
742441,36.00
744465,36.00
746488,36.00
748512,36.00
750535,36.00
752560,35.90
754582,36.00
756604,36.00
758627,36.00
760649,36.00
762672,36.00
764694,36.00
766716,36.00
768739,36.00
770761,36.00
772784,36.00
774806,36.00
776828,36.00
778851,36.00
780873,36.00
782896,36.00
784918,36.00
786940,36.00
788963,36.00
790985,36.00
793008,36.00
795030,36.00
797052,36.00
799075,36.00
801097,36.00
803120,36.00
805142,36.00
807164,36.00
809187,36.00
811209,36.00
813232,36.00
815254,36.00
817276,36.00
819300,36.00
821323,36.00
823348,36.00
825371,36.00
827395,36.00
829418,36.00
831440,36.00
833463,36.00
835485,36.00
837508,36.00
839530,36.00
841552,36.00
843575,36.00
845598,36.00
847622,36.00
849646,36.00
851670,36.00
853693,36.00
855715,36.00
857738,36.00
859760,36.00
861783,36.00
863805,36.00
865828,36.00
867852,36.00
869876,36.00
871900,36.10
873922,36.00
875944,36.10
877967,36.00
879989,36.00
882013,36.00
884036,36.00
886061,36.00
888084,36.10
890106,36.00
892129,36.00
894151,36.10
896174,36.10
898197,36.00
900220,36.00