ms,degC
6067,31.90
8089,32.00
10114,32.10
12136,32.10
14158,32.10
16182,32.20
18204,32.20
20228,32.30
22252,32.30
24284,32.40
26297,32.50
28319,32.50
30344,32.50
32366,32.60
34148,32.60
36125,33.60
38101,33.60
40078,33.60
42096,33.60
44023,33.70
46049,33.70
48917,33.80
50963,33.80
52942,33.80
54914,33.80
56395,33.90
58878,33.90
60859,33.90
62823,33.90
64806,33.90
66228,34.00
68342,34.00
70261,34.00
72783,34.10
74312,34.20
76336,34.20
78353,34.30
80388,34.30
82402,34.40
84521,34.50
86456,34.50
88473,34.60
90495,34.70
92518,34.70
94549,34.70
96564,34.80
98989,34.80
100936,34.80
102902,34.90
104820,34.90
106858,35.00