Order,species,mass.g, T.high,T.low
Artiodactyla,Bos taurus,500250,39.4,38.5
Artiodactyla,Capra hircus,30000,39.1,38.6 
Artiodactyla,Hippopotamus amphibius,2300000,36.5,35.8 
Artiodactyla,Lama glama,142000,38.2,37.7 
Artiodactyla,Lama pacos,60250,38.2,37.8
Artiodactyla,Sus scrofa,100500,38.7,38.1 
Carnivora,Canis familiaris,15000,38.4,37.7
Carnivora,Vulpes zerda,1000,38.5,37.3 
Carnivora,Herpestes sanguineus,540,39.2,37.3
Carnivora,Nasua nasua,3850,38.3,37.4 
Insectivora,Tupaia belangeri,193,39.7,36.3 
Lagomorpha,Ochotona rufescens,195,39.1,38.9
Lagomorpha,Oryctolagus cuniculus,1888,39.6,39.1
Rodentia,Acomys cahirinus,65,38.2,36.3
Rodentia,Acomys russatus,71,37.8,36.2
Rodentia,Apodemus mystacinus,34,38.9,37.5
Rodentia,Arvicanthis niloticus,105,38.3,36.5
Rodentia,Cavia porcellus,677,39.3,39.03 
Rodentia,Cricetus cricetus,265,38.1,37.0
Rodentia,Cynomys ludovicianus,1001,38.8,35.4 
Rodentia,Georychus capensis,236,36.6,35.3
Rodentia,Marmota monax,4300,38.2,37.4
Rodentia,Meriones unguiculatus,63,38.1,36.2
Rodentia,Mesocricetus auratus,158,38.1,36.8 
Rodentia,Mus musculus,32,37.7,36.0 
Rodentia,Ondatra zibethicus,850,38.9,37.9
Rodentia,Octodon degus,240,37.5,36.4
Rodentia,Pachyuromys duprasi,84,38.0,35.5
Rodentia,Peromyscus leucopus,33,38.5,35.6
Rodentia,Peromyscus polionotus,14,38.3,36.2
Rodentia,Rattus norvegicus,281,37.9,36.6
Rodentia,Saccostomus campestris,94,36.6,34.7
Rodentia,Sciurus vulgaris,300,38.3,35.6
Rodentia,Spalax ehrenbergi,196,36.8,35.6
Rodentia,Spermophilus richardsonii,487,38.0,36.1
Rodentia,Glaucomys volans,74,37.0,35.5
Perissodactyla,Equus africanus,169167, 38.4,36.7
Perissodactyla,Equus caballus,643333,37.6,37.1 
Primata,Aotus trivirgatus,1015,38.2,37.0 
Primata,Callithrix jacchus,400,38.3,35.8 
Primata,Cebuella pygmaea,105,38.0,35.0
Primata,Cebus albifrons,1000,38.5,36.0 
Primata,Homo sapiens,68382,37.2,36.4 
Primata,Macaca fascicularis,5000,37.4,35.2
Primata,Macaca mulatta,4460,38.4,36.7 
Primata,Macaca nemestrina,6000,37.7,36.6
Primata,Macaca radiata,4994,38.7,37.5 
Primata,Microcebus myoxinus,32,37.8,34.0
Primata,Papio cynocephalus,10000,38.7,37.1
Primata,Saimiri sciureus,971,38.5,36.4 
Proboscidea,Elephas maximus,5000000,35.7,35.2
Xenarthra,Dasypus novemcinctus,3400,36.5,34.5